Id,"CreatedDateUtc","Iso6391","Iso6392","Iso6392B","Iso6392T","Iso6393","LocalName","ModifiedDateUtc","Name"
20,"2017-10-28 15:01:29","sc","srd","srd","srd","srd","Sardu","2017-10-28 15:01:29","Sardinian"
21,"2017-10-28 15:01:29","nr","nbl","nbl","nbl","nbl","isiNdebele","2017-10-28 15:01:29","Southern Ndebele"
22,"2017-10-28 15:01:29","sd","snd","snd","snd","snd","سنڌي‎","2017-10-28 15:01:29","Sindhi"
23,"2017-10-28 15:01:29","ii","iii","iii","iii","iii","ꆈꌠ꒿ Nuosuhxop","2017-10-28 15:01:29","Nuosu"
24,"2017-10-28 15:01:29","nn","nno","nno","nno","nno","Norsk (Nynorsk)","2017-10-28 15:01:29","Norwegian Nynorsk"
25,"2017-10-28 15:01:29","lt","lit","lit","lit","lit","Lietuvių","2017-10-28 15:01:29","Lithuanian"
26,"2017-10-28 15:01:29","lu","lub","lub","lub","lub","Tshiluba","2017-10-28 15:01:29","Luba-Katanga"
27,"2017-10-28 15:01:29","lv","lav","lav","lav","lav","Latviešu","2017-10-28 15:01:29","Latvian"
28,"2017-10-28 15:01:29","gv","glv","glv","glv","glv","Gaelg","2017-10-28 15:01:29","Manx"
29,"2017-10-28 15:01:29","mk","mkd","mac","mkd","mkd","Македонски","2017-10-28 15:01:29","Macedonian"
30,"2017-10-28 15:01:29","mg","mlg","mlg","mlg","mlg","Malagasy","2017-10-28 15:01:29","Malagasy"
31,"2017-10-28 15:01:29","ms","msa","may","msa","msa","Bahasa Melayu","2017-10-28 15:01:29","Malay"
32,"2017-10-28 15:01:29","ml","mal","mal","mal","mal","മലയാളം","2017-10-28 15:01:29","Malayalam"
33,"2017-10-28 15:01:29","mt","mlt","mlt","mlt","mlt","Malti","2017-10-28 15:01:29","Maltese"
34,"2017-10-28 15:01:29","mi","mri","mao","mri","mri","Māori","2017-10-28 15:01:29","Māori"
35,"2017-10-28 15:01:29","mr","mar","mar","mar","mar","मराठी","2017-10-28 15:01:29","Marathi"
36,"2017-10-28 15:01:29","mh","mah","mah","mah","mah","Kajin M̧ajeļ","2017-10-28 15:01:29","Marshallese"
37,"2017-10-28 15:01:29","mn","mon","mon","mon","mon","Монгол","2017-10-28 15:01:29","Mongolian"
38,"2017-10-28 15:01:29","na","nau","nau","nau","nau","Dorerin Naoero","2017-10-28 15:01:29","Nauru"
39,"2017-10-28 15:01:29","nv","nav","nav","nav","nav","Diné Bizaad","2017-10-28 15:01:29","Navajo"
40,"2017-10-28 15:01:29","nd","nde","nde","nde","nde","isiNdebele","2017-10-28 15:01:29","Northern Ndebele"
41,"2017-10-28 15:01:29","ne","nep","nep","nep","nep","नेपाली","2017-10-28 15:01:29","Nepali"
42,"2017-10-28 15:01:29","ng","ndo","ndo","ndo","ndo","Owambo","2017-10-28 15:01:29","Ndonga"
43,"2017-10-28 15:01:29","nb","nob","nob","nob","nob","Norsk (Bokmål)","2017-10-28 15:01:29","Norwegian Bokmål"
44,"2017-10-28 15:01:29","no","nor","nor","nor","nor","Norsk","2017-10-28 15:01:29","Norwegian"
45,"2017-10-28 15:01:29","lo","lao","lao","lao","lao","ພາສາລາວ","2017-10-28 15:01:29","Lao"
46,"2017-10-28 15:01:29","se","sme","sme","sme","sme","Sámegiella","2017-10-28 15:01:29","Northern Sami"
47,"2017-10-28 15:01:29","sg","sag","sag","sag","sag","Sängö","2017-10-28 15:01:29","Sango"
48,"2017-10-28 15:01:29","tr","tur","tur","tur","tur","Türkçe","2017-10-28 15:01:29","Turkish"
49,"2017-10-28 15:01:29","ts","tso","tso","tso","tso","Xitsonga","2017-10-28 15:01:29","Tsonga"
50,"2017-10-28 15:01:29","tt","tat","tat","tat","tat","Татарча","2017-10-28 15:01:29","Tatar"
51,"2017-10-28 15:01:29","tw","twi","twi","twi","twi","Twi","2017-10-28 15:01:29","Twi"
52,"2017-10-28 15:01:29","ty","tah","tah","tah","tah","Reo Mā’ohi","2017-10-28 15:01:29","Tahitian"
53,"2017-10-28 15:01:29","ug","uig","uig","uig","uig","ئۇيغۇرچه","2017-10-28 15:01:29","Uyghur"
54,"2017-10-28 15:01:29","uk","ukr","ukr","ukr","ukr","Українська","2017-10-28 15:01:29","Ukrainian"
55,"2017-10-28 15:01:29","ur","urd","urd","urd","urd","اردو","2017-10-28 15:01:29","Urdu"
56,"2017-10-28 15:01:29","uz","uzb","uzb","uzb","uzb","O‘zbek","2017-10-28 15:01:29","Uzbek"
57,"2017-10-28 15:01:29","ve","ven","ven","ven","ven","Tshivenḓa","2017-10-28 15:01:29","Venda"
58,"2017-10-28 15:01:29","vi","vie","vie","vie","vie","Tiếng Việt","2017-10-28 15:01:29","Vietnamese"
59,"2017-10-28 15:01:29","vo","vol","vol","vol","vol","Volapük","2017-10-28 15:01:29","Volapük"
60,"2017-10-28 15:01:29","wa","wln","wln","wln","wln","Walon","2017-10-28 15:01:29","Walloon"
61,"2017-10-28 15:01:29","cy","cym","wel","cym","cym","Cymraeg","2017-10-28 15:01:29","Welsh"
62,"2017-10-28 15:01:29","wo","wol","wol","wol","wol","Wolof","2017-10-28 15:01:29","Wolof"
63,"2017-10-28 15:01:29","fy","fry","fry","fry","fry","Frysk","2017-10-28 15:01:29","Western Frisian"
64,"2017-10-28 15:01:29","xh","xho","xho","xho","xho","isiXhosa","2017-10-28 15:01:29","Xhosa"
65,"2017-10-28 15:01:29","yi","yid","yid","yid","yid","ייִדיש","2017-10-28 15:01:29","Yiddish"
66,"2017-10-28 15:01:29","yo","yor","yor","yor","yor","Yorùbá","2017-10-28 15:01:29","Yoruba"
67,"2017-10-28 15:01:29","to","ton","ton","ton","ton","faka Tonga","2017-10-28 15:01:29","Tonga"
68,"2017-10-28 15:01:29","sm","smo","smo","smo","smo","Gagana Sāmoa","2017-10-28 15:01:29","Samoan"
69,"2017-10-28 15:01:29","tn","tsn","tsn","tsn","tsn","Setswana","2017-10-28 15:01:29","Tswana"
70,"2017-10-28 15:01:29","tk","tuk","tuk","tuk","tuk","Türkmençe","2017-10-28 15:01:29","Turkmen"
71,"2017-10-28 15:01:29","sr","srp","srp","srp","srp","Српски","2017-10-28 15:01:29","Serbian"
72,"2017-10-28 15:01:29","gd","gla","gla","gla","gla","Gàidhlig","2017-10-28 15:01:29","Gaelic"
73,"2017-10-28 15:01:29","sn","sna","sna","sna","sna","ChiShona","2017-10-28 15:01:29","Shona"
74,"2017-10-28 15:01:29","si","sin","sin","sin","sin","සිංහල","2017-10-28 15:01:29","Sinhala"
75,"2017-10-28 15:01:29","sk","slk","slo","slk","slk","Slovenčina","2017-10-28 15:01:29","Slovak"
76,"2017-10-28 15:01:29","sl","slv","slv","slv","slv","Slovenščina","2017-10-28 15:01:29","Slovene"
77,"2017-10-28 15:01:29","so","som","som","som","som","Soomaaliga","2017-10-28 15:01:29","Somali"
78,"2017-10-28 15:01:29","st","sot","sot","sot","sot","Sesotho","2017-10-28 15:01:29","Southern Sotho"
79,"2017-10-28 15:01:29","es","spa","spa","spa","spa","Español","2017-10-28 15:01:29","Spanish"
80,"2017-10-28 15:01:29","su","sun","sun","sun","sun","Basa Sunda","2017-10-28 15:01:29","Sundanese"
81,"2017-10-28 15:01:29","sw","swa","swa","swa","swa","Kiswahili","2017-10-28 15:01:29","Swahili"
82,"2017-10-28 15:01:29","ss","ssw","ssw","ssw","ssw","SiSwati","2017-10-28 15:01:29","Swati"
83,"2017-10-28 15:01:29","sv","swe","swe","swe","swe","Svenska","2017-10-28 15:01:29","Swedish"
84,"2017-10-28 15:01:29","ta","tam","tam","tam","tam","தமிழ்","2017-10-28 15:01:29","Tamil"
85,"2017-10-28 15:01:29","te","tel","tel","tel","tel","తెలుగు","2017-10-28 15:01:29","Telugu"
86,"2017-10-28 15:01:29","tg","tgk","tgk","tgk","tgk","Тоҷикӣ","2017-10-28 15:01:29","Tajik"
87,"2017-10-28 15:01:29","th","tha","tha","tha","tha","ภาษาไทย","2017-10-28 15:01:29","Thai"
88,"2017-10-28 15:01:29","ti","tir","tir","tir","tir","ትግርኛ","2017-10-28 15:01:29","Tigrinya"
89,"2017-10-28 15:01:29","bo","bod","tib","bod","bod","བོད་ཡིག","2017-10-28 15:01:29","Tibetan Standard"
90,"2017-10-28 15:01:29","tl","tgl","tgl","tgl","tgl","Tagalog","2017-10-28 15:01:29","Tagalog"
91,"2017-10-28 15:01:29","ln","lin","lin","lin","lin","Lingála","2017-10-28 15:01:29","Lingala"
92,"2017-10-28 15:01:29","li","lim","lim","lim","lim","Limburgs","2017-10-28 15:01:29","Limburgish"
93,"2017-10-28 15:01:29","lg","lug","lug","lug","lug","Luganda","2017-10-28 15:01:29","Ganda"
94,"2017-10-28 15:01:29","my","mya","bur","mya","mya","မြန်မာဘာသာ","2017-10-28 15:01:29","Burmese"
95,"2017-10-28 15:01:29","ca","cat","cat","cat","cat","Català","2017-10-28 15:01:29","Catalan"
96,"2017-10-28 15:01:29","ch","cha","cha","cha","cha","Chamoru","2017-10-28 15:01:29","Chamorro"
97,"2017-10-28 15:01:29","ce","che","che","che","che","Нохчийн","2017-10-28 15:01:29","Chechen"
98,"2017-10-28 15:01:29","ny","nya","nya","nya","nya","Chichewa","2017-10-28 15:01:29","Chichewa"
99,"2017-10-28 15:01:29","zh","zho","chi","zho","zho","中文","2017-10-28 15:01:29","Chinese"
100,"2017-10-28 15:01:29","cv","chv","chv","chv","chv","Чӑвашла","2017-10-28 15:01:29","Chuvash"
101,"2017-10-28 15:01:29","kw","cor","cor","cor","cor","Kernewek","2017-10-28 15:01:29","Cornish"
102,"2017-10-28 15:01:29","co","cos","cos","cos","cos","Corsu","2017-10-28 15:01:29","Corsican"
103,"2017-10-28 15:01:29","cr","cre","cre","cre","cre","ᓀᐦᐃᔭᐍᐏᐣ","2017-10-28 15:01:29","Cree"
104,"2017-10-28 15:01:29","hr","hrv","hrv","hrv","hrv","Hrvatski","2017-10-28 15:01:29","Croatian"
105,"2017-10-28 15:01:29","cs","ces","cze","ces","ces","Čeština","2017-10-28 15:01:29","Czech"
106,"2017-10-28 15:01:29","da","dan","dan","dan","dan","Dansk","2017-10-28 15:01:29","Danish"
107,"2017-10-28 15:01:29","dv","div","div","div","div","Divehi","2017-10-28 15:01:29","Divehi"
108,"2017-10-28 15:01:29","nl","nld","dut","nld","nld","Nederlands","2017-10-28 15:01:29","Dutch"
109,"2017-10-28 15:01:29","dz","dzo","dzo","dzo","dzo","རྫོང་ཁ","2017-10-28 15:01:29","Dzongkha"
110,"2017-10-28 15:01:29","en","eng","eng","eng","eng","English","2017-10-28 15:01:29","English"
111,"2017-10-28 15:01:29","eo","epo","epo","epo","epo","Esperanto","2017-10-28 15:01:29","Esperanto"
112,"2017-10-28 15:01:29","et","est","est","est","est","Eesti","2017-10-28 15:01:29","Estonian"
113,"2017-10-28 15:01:29","bg","bul","bul","bul","bul","Български","2017-10-28 15:01:29","Bulgarian"
114,"2017-10-28 15:01:29","ee","ewe","ewe","ewe","ewe","Eʋegbe","2017-10-28 15:01:29","Ewe"
115,"2017-10-28 15:01:29","br","bre","bre","bre","bre","Brezhoneg","2017-10-28 15:01:29","Breton"
116,"2017-10-28 15:01:29","bi","bis","bis","bis","bis","Bislama","2017-10-28 15:01:29","Bislama"
117,"2017-10-28 15:01:29","aa","aar","aar","aar","aar","Afaraf","2017-10-28 15:01:29","Afar"
118,"2017-10-28 15:01:29","af","afr","afr","afr","afr","Afrikaans","2017-10-28 15:01:29","Afrikaans"
119,"2017-10-28 15:01:29","ak","aka","aka","aka","aka","Akan","2017-10-28 15:01:29","Akan"
120,"2017-10-28 15:01:29","sq","sqi","alb","sqi","sqi","Shqip","2017-10-28 15:01:29","Albanian"
121,"2017-10-28 15:01:29","am","amh","amh","amh","amh","አማርኛ","2017-10-28 15:01:29","Amharic"
122,"2017-10-28 15:01:29","ar","ara","ara","ara","ara","العربية","2017-10-28 15:01:29","Arabic"
123,"2017-10-28 15:01:29","an","arg","arg","arg","arg","Aragonés","2017-10-28 15:01:29","Aragonese"
124,"2017-10-28 15:01:29","hy","hye","arm","hye","hye","Հայերեն","2017-10-28 15:01:29","Armenian"
125,"2017-10-28 15:01:29","as","asm","asm","asm","asm","অসমীয়া","2017-10-28 15:01:29","Assamese"
126,"2017-10-28 15:01:29","av","ava","ava","ava","ava","Авар","2017-10-28 15:01:29","Avaric"
127,"2017-10-28 15:01:29","ae","ave","ave","ave","ave","avesta","2017-10-28 15:01:29","Avestan"
128,"2017-10-28 15:01:29","ay","aym","aym","aym","aym","Aymar","2017-10-28 15:01:29","Aymara"
129,"2017-10-28 15:01:29","az","aze","aze","aze","aze","Azərbaycanca","2017-10-28 15:01:29","Azerbaijani"
130,"2017-10-28 15:01:29","bm","bam","bam","bam","bam","Bamanankan","2017-10-28 15:01:29","Bambara"
131,"2017-10-28 15:01:29","ba","bak","bak","bak","bak","Башҡортса","2017-10-28 15:01:29","Bashkir"
132,"2017-10-28 15:01:29","eu","eus","baq","eus","eus","Euskara","2017-10-28 15:01:29","Basque"
133,"2017-10-28 15:01:29","be","bel","bel","bel","bel","Беларуская","2017-10-28 15:01:29","Belarusian"
134,"2017-10-28 15:01:29","bn","ben","ben","ben","ben","বাংলা","2017-10-28 15:01:29","Bengali"
135,"2017-10-28 15:01:29","bh","bih","bih","bih","bih","भोजपुरी","2017-10-28 15:01:29","Bihari"
136,"2017-10-28 15:01:29","bs","bos","bos","bos","bos","Bosanski","2017-10-28 15:01:29","Bosnian"
137,"2017-10-28 15:01:29","fo","fao","fao","fao","fao","Føroyskt","2017-10-28 15:01:29","Faroese"
138,"2017-10-28 15:01:29","fj","fij","fij","fij","fij","Na Vosa Vaka-Viti","2017-10-28 15:01:29","Fijian"
139,"2017-10-28 15:01:29","fi","fin","fin","fin","fin","Suomi","2017-10-28 15:01:29","Finnish"
140,"2017-10-28 15:01:29","iu","iku","iku","iku","iku","ᐃᓄᒃᑎᑐᑦ","2017-10-28 15:01:29","Inuktitut"
141,"2017-10-28 15:01:29","ja","jpn","jpn","jpn","jpn","日本語","2017-10-28 15:01:29","Japanese"
142,"2017-10-28 15:01:29","jv","jav","jav","jav","jav","Basa Jawa","2017-10-28 15:01:29","Javanese"
143,"2017-10-28 15:01:29","kl","kal","kal","kal","kal","Kalaallisut","2017-10-28 15:01:29","Kalaallisut"
144,"2017-10-28 15:01:29","kn","kan","kan","kan","kan","ಕನ್ನಡ","2017-10-28 15:01:29","Kannada"
145,"2017-10-28 15:01:29","kr","kau","kau","kau","kau","Kanuri","2017-10-28 15:01:29","Kanuri"
146,"2017-10-28 15:01:29","ks","kas","kas","kas","kas","كشميري","2017-10-28 15:01:29","Kashmiri"
147,"2017-10-28 15:01:29","kk","kaz","kaz","kaz","kaz","Қазақша","2017-10-28 15:01:29","Kazakh"
148,"2017-10-28 15:01:29","km","khm","khm","khm","khm","ភាសាខ្មែរ","2017-10-28 15:01:29","Khmer"
149,"2017-10-28 15:01:29","ki","kik","kik","kik","kik","Gĩkũyũ","2017-10-28 15:01:29","Kikuyu"
150,"2017-10-28 15:01:29","rw","kin","kin","kin","kin","Kinyarwanda","2017-10-28 15:01:29","Kinyarwanda"
151,"2017-10-28 15:01:29","ky","kir","kir","kir","kir","Кыргызча","2017-10-28 15:01:29","Kyrgyz"
152,"2017-10-28 15:01:29","kv","kom","kom","kom","kom","Коми","2017-10-28 15:01:29","Komi"
153,"2017-10-28 15:01:29","kg","kon","kon","kon","kon","Kongo","2017-10-28 15:01:29","Kongo"
154,"2017-10-28 15:01:29","ko","kor","kor","kor","kor","한국어","2017-10-28 15:01:29","Korean"
155,"2017-10-28 15:01:29","ku","kur","kur","kur","kur","Kurdî","2017-10-28 15:01:29","Kurdish"
156,"2017-10-28 15:01:29","kj","kua","kua","kua","kua","Kuanyama","2017-10-28 15:01:29","Kwanyama"
157,"2017-10-28 15:01:29","la","lat","lat","lat","lat","Latina","2017-10-28 15:01:29","Latin"
158,"2017-10-28 15:01:29","lb","ltz","ltz","ltz","ltz","Lëtzebuergesch","2017-10-28 15:01:29","Luxembourgish"
159,"2017-10-28 15:01:29","it","ita","ita","ita","ita","Italiano","2017-10-28 15:01:29","Italian"
160,"2017-10-28 15:01:29","is","isl","ice","isl","isl","Íslenska","2017-10-28 15:01:29","Icelandic"
161,"2017-10-28 15:01:29","io","ido","ido","ido","ido","Ido","2017-10-28 15:01:29","Ido"
162,"2017-10-28 15:01:29","ik","ipk","ipk","ipk","ipk","Iñupiak","2017-10-28 15:01:29","Inupiaq"
163,"2017-10-28 15:01:29","fr","fra","fre","fra","fra","Français","2017-10-28 15:01:29","French"
164,"2017-10-28 15:01:29","ff","ful","ful","ful","ful","Fulfulde","2017-10-28 15:01:29","Fula"
165,"2017-10-28 15:01:29","gl","glg","glg","glg","glg","Galego","2017-10-28 15:01:29","Galician"
166,"2017-10-28 15:01:29","ka","kat","geo","kat","kat","ქართული","2017-10-28 15:01:29","Georgian"
167,"2017-10-28 15:01:29","de","deu","ger","deu","deu","Deutsch","2017-10-28 15:01:29","German"
168,"2017-10-28 15:01:29","el","ell","gre","ell","ell","Ελληνικά","2017-10-28 15:01:29","Greek"
169,"2017-10-28 15:01:29","gn","grn","grn","grn","grn","Avañe'ẽ","2017-10-28 15:01:29","Guaraní"
170,"2017-10-28 15:01:29","gu","guj","guj","guj","guj","ગુજરાતી","2017-10-28 15:01:29","Gujarati"
171,"2017-10-28 15:01:29","ht","hat","hat","hat","hat","Kreyòl Ayisyen","2017-10-28 15:01:29","Haitian"
172,"2017-10-28 15:01:29","za","zha","zha","zha","zha","Cuengh","2017-10-28 15:01:29","Zhuang"
173,"2017-10-28 15:01:29","ha","hau","hau","hau","hau","هَوُسَ","2017-10-28 15:01:29","Hausa"
174,"2017-10-28 15:01:29","hz","her","her","her","her","Otjiherero","2017-10-28 15:01:29","Herero"
175,"2017-10-28 15:01:29","hi","hin","hin","hin","hin","हिन्दी","2017-10-28 15:01:29","Hindi"
176,"2017-10-28 15:01:29","ho","hmo","hmo","hmo","hmo","Hiri Motu","2017-10-28 15:01:29","Hiri Motu"
177,"2017-10-28 15:01:29","hu","hun","hun","hun","hun","Magyar","2017-10-28 15:01:29","Hungarian"
178,"2017-10-28 15:01:29","ia","ina","ina","ina","ina","Interlingua","2017-10-28 15:01:29","Interlingua"
179,"2017-10-28 15:01:29","id","ind","ind","ind","ind","Bahasa Indonesia","2017-10-28 15:01:29","Indonesian"
180,"2017-10-28 15:01:29","ie","ile","ile","ile","ile","Interlingue","2017-10-28 15:01:29","Interlingue"
181,"2017-10-28 15:01:29","ga","gle","gle","gle","gle","Gaeilge","2017-10-28 15:01:29","Irish"
182,"2017-10-28 15:01:29","ig","ibo","ibo","ibo","ibo","Igbo","2017-10-28 15:01:29","Igbo"
183,"2017-10-28 15:01:29","he","heb","heb","heb","heb","עברית","2017-10-28 15:01:29","Hebrew"
184,"2017-10-28 15:01:29","zu","zul","zul","zul","zul","isiZulu","2017-10-28 15:01:29","Zulu"
