Name,ViewUrl,HomeUrl,Description,DescriptionSourceUrl,Author,ForumUrl,IssuesUrl,EmailAddress,DonateUrl
Adblock & uBlock Polish Cookies Filters,https://raw.githubusercontent.com/MajkiIT/polish-ads-filter/master/cookies_filters/adblock_cookies.txt,http://www.certyficate.it/,Filters Polish cookie messages in Adblock and uBlock.,,,,https://github.com/MajkiIT/polish-ads-filter/issues,errors@certyficate.it,
Adblock & uBlock Polish Filters,https://raw.githubusercontent.com/MajkiIT/polish-ads-filter/master/polish-adblock-filters/adblock.txt,http://www.certyficate.it/,"Presented here filter set was created for Polish internet users. Contains a list of elements of advertising, such as banners or flash animations, the most commonly used on Polish websites.",http://www.certyficate.it/polski-filtr-adblock/,,,https://github.com/MajkiIT/polish-ads-filter/issues,errors@certyficate.it,
Adblock Filters by Gurud.ee,http://gurud.ee/ab.txt,http://gurud.ee/veeb/adblock,Blocks Estonian regional advertisements and trackers.,,,,,adblock@gurud.ee,
Adblock Iran,https://raw.githubusercontent.com/farrokhi/adblock-iran/master/filter.txt,https://github.com/farrokhi/adblock-iran,Ad blocking rules for Iranian/Persian websites.,https://github.com/farrokhi/adblock-iran,,,https://github.com/farrokhi/adblock-iran/issues,,
Adblock Korea,https://web.archive.org/web/20130615155938/http://adblock-korea.googlecode.com/git/adblock-korea.txt,https://code.google.com/archive/p/adblock-korea/,Blocks Korean regional advertisements and trackers.,,,,,,
Adblock List for Finland,http://adb.juvander.net/Finland_adb.txt,https://www.juvander.fi/site/ilpo/Home/tabid/127/EntryId/825/New-Adblock-filter-list.aspx,Blocks Finnish regional advertisements and trackers.,,,https://www.juvander.fi/site/ilpo/Forums/tabid/139/forumid/23/scope/threads/Default.aspx,,,
Adblock Persian List,https://ideone.com/plain/K452p,https://ideone.com/K452p,Blocks Persian regional advertisements and trackers.,,,https://adblockplus.org/forum/viewtopic.php?f=2&t=7658,,,
Adblock Polish Social Rules,https://raw.githubusercontent.com/MajkiIT/polish-ads-filter/master/adblock_social_filters/adblock_social_list.txt,http://www.certyficate.it/,Blocks Polish regional social network advertisements and trackers.,,,,https://github.com/MajkiIT/polish-ads-filter/issues,errors@certyficate.it,
Adblock Polska,https://raw.githubusercontent.com/adblockpolska/Adblock_PL_List/master/adblock_polska.txt,https://www.facebook.com/adblockpl,Adblock PL is official Poland filter list for AdBlock and Adblock Plus.,https://github.com/adblockpolska/Adblock_PL_List,,,https://github.com/adblockpolska/Adblock_PL_List/issues,adblockpolska@gmail.com,
Adblock Warning Removal List,https://easylist-downloads.adblockplus.org/antiadblockfilters.txt,https://easylist.to/,The Adblock Warning Removal List specifically removes obtrusive messages and warnings targeted to users who use an adblocker.,https://easylist.to/pages/other-supplementary-filter-lists-and-easylist-variants.html,,https://forums.lanik.us/,,easylist.subscription+anti@gmail.com,
Adblock YouTube Ads,https://raw.githubusercontent.com/kbinani/adblock-youtube-ads/master/signed.txt,https://github.com/kbinani/adblock-youtube-ads,Blocks ads on YouTube.,,,,,,
add.2o7Net,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.2o7Net/hosts,https://github.com/FadeMind/hosts.extras,"2o7Net tracking sites based on <a href=""https://filterlists.com/#BadHosts"">BadHosts</a> content.",https://github.com/StevenBlack/hosts,,,https://github.com/FadeMind/hosts.extras/issues,,
add.Dead,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Dead/hosts,https://github.com/FadeMind/hosts.extras,"Dead sites based on <a href=""https://filterlists.com/#BadHosts"">BadHosts</a> content.",https://github.com/StevenBlack/hosts,,,https://github.com/FadeMind/hosts.extras/issues,,
add.Risk,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Risk/hosts,https://github.com/FadeMind/hosts.extras,"Risk content sites based on <a href=""https://filterlists.com/#BadHosts"">BadHosts</a> content.",https://github.com/StevenBlack/hosts,,,https://github.com/FadeMind/hosts.extras/issues,,
add.Spam,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Spam/hosts,https://github.com/FadeMind/hosts.extras,"Spam sites based on <a href=""https://filterlists.com/#BadHosts"">BadHosts</a> content.",https://github.com/StevenBlack/hosts,,,https://github.com/FadeMind/hosts.extras/issues,,
Additional Adblock Rules,https://dl.dropboxusercontent.com/s/1ybzw9lb7m1qiyl/AAs.txt,https://dl.dropboxusercontent.com/s/1ybzw9lb7m1qiyl/AAs.txt,"This is a general, mainly a Finnish list for blocking various elements on specific websites such as ads, cookie notifications and cosmetic annoyances.",https://dl.dropboxusercontent.com/s/1ybzw9lb7m1qiyl/AAs.txt,,,,,
Adguard Annoyances Filter,https://adguard.com/en/filter-rules.html?id=14,https://adguard.com/en/filters.html,"Blocks irritating elements on webpages, including cookie notices, third-party widgets and in-page popups (Doesnt include social media widgets and buttons, to block them you can still use Social media filter separately). It was inspired by Fanboy Annoyances List, but doesnt duplicate it, so you can use them both together.",https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard DNS Filter,https://adguard.com/en/filter-rules.html?id=15,https://adguard.com/en/adguard-dns/overview.html,"It is an alternative, free way to block ads, trackers and phishing websites, and also a parental control instrument.",,,,,,
Adguard Dutch Filter,https://adguard.com/en/filter-rules.html?id=8,https://adguard.com/en/filters.html,Filter that enables removing of the ads from websites with Dutch content.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard English Filter,https://adguard.com/en/filter-rules.html?id=2,https://adguard.com/en/filters.html,Filter that enables removing of the ads from websites with English content.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard Experimental Filter,https://adguard.com/en/filter-rules.html?id=5,https://adguard.com/en/filters.html,Filter designed to test certain hazardous filtering rules before they are added to the basic filters.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard German Filter,https://adguard.com/en/filter-rules.html?id=6,https://adguard.com/en/filters.html,Filter that enables removing of the ads from websites with German content.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard Japanese Filter,https://adguard.com/en/filter-rules.html?id=7,https://adguard.com/en/filters.html,Filter that enables removing of the ads from websites in Japanese.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard Mobile Ads Filter,https://adguard.com/en/filter-rules.html?id=11,https://adguard.com/en/filters.html,Filter that blocks ads on mobile devices. Contains all known mobile ad networks.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard Russian Filter,https://adguard.com/en/filter-rules.html?id=1,https://adguard.com/en/filters.html,Filter that enables removing of the ads from websites in Russian.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard Safari Filter,https://adguard.com/en/filter-rules.html?id=12,https://adguard.com/en/filters.html,Filter that blocks ads on iOS mobile devices in Safari browser. Contains all known mobile ad networks.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard Social Media Filter,https://adguard.com/en/filter-rules.html?id=4,https://adguard.com/en/filters.html,"If you do not like numerous «Like» and «Tweet» buttons on all the popular websites on the Internet, subscribe to this filter, and you will not see them anymore.",https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard Spanish/Portuguese Filter,https://adguard.com/en/filter-rules.html?id=9,https://adguard.com/en/filters.html,Filter that enables removing of the ads from websites in Spanish.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard Spyware Filter,https://adguard.com/en/filter-rules.html?id=3,https://adguard.com/en/filters.html,"The most comprehensive list of various online counters and web analytics tools. If you do not want your actions on the Internet be tracked, use this filter.",https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard Turkish Filter,https://adguard.com/en/filter-rules.html?id=13,https://adguard.com/en/filters.html,Filter that enables removing of the ads from websites with Turkish content.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adguard Useful Ads Filter,https://adguard.com/en/filter-rules.html?id=10,https://adguard.com/en/filters.html,Filter that unblocks ads that may be useful to users. Advertising that falls under this filter shall comply with a set of rules.,https://adguard.com/en/filters.html,,https://forum.adguard.com/index.php?categories/filter-rules.66/,https://github.com/AdguardTeam/AdguardFilters/issues,,
Adware Filters,https://easylist-downloads.adblockplus.org/adwarefilters.txt,https://easylist.to/,Blocks ads injected by adware.,https://adblockplus.org/subscriptions,,https://forums.lanik.us/,,easylist.subscription@gmail.com,
AdZHosts,https://sourceforge.net/projects/adzhosts/files/HOSTS.txt/download,https://sourceforge.net/projects/adzhosts/,Its purpose is to prevent access to websites that broadcast the ad and block access to websites intrusive on your PC and your smartphone.,https://sourceforge.net/projects/adzhosts/,,https://sourceforge.net/p/adzhosts/discussion/general/,,adzhosts@gmail.com,
Airelle's Anti-Advertisements Hosts,http://rlwpx.free.fr/WPFF/hpub.7z,http://rlwpx.free.fr/WPFF/hosts.htm,"A hosts list blocking advertising sites. (Compressed, currently cannot be subscribed to/added.)",,,http://rlwpx.free.fr/Webforum/,,contact.wiki.airelle@spamgourmet.com,http://rlwpx.free.fr/WPFF/don.htm
Airelle's Anti-Miscellaneous Hosts,http://rlwpx.free.fr/WPFF/hmis.7z,http://rlwpx.free.fr/WPFF/hosts.htm,"A hosts list blocking miscellaneous annoyances. (Compressed, currently cannot be subscribed to/added.)",,,http://rlwpx.free.fr/Webforum/,,contact.wiki.airelle@spamgourmet.com,http://rlwpx.free.fr/WPFF/don.htm
Airelle's Anti-Sex Hosts,http://rlwpx.free.fr/WPFF/hsex.7z,http://rlwpx.free.fr/WPFF/hosts.htm,"A hosts list blocking adult/pornographic sites. (Compressed, currently cannot be subscribed to/added.)",,,http://rlwpx.free.fr/Webforum/,,contact.wiki.airelle@spamgourmet.com,http://rlwpx.free.fr/WPFF/don.htm
Airelle's Anti-Trackers Hosts,http://rlwpx.free.fr/WPFF/htrc.7z,http://rlwpx.free.fr/WPFF/hosts.htm,"A hosts list blocking tracking sites. (Compressed, currently cannot be subscribed to/added.)",,,http://rlwpx.free.fr/Webforum/,,contact.wiki.airelle@spamgourmet.com,http://rlwpx.free.fr/WPFF/don.htm
Airelle's Malware Hosts,http://rlwpx.free.fr/WPFF/hrsk.7z,http://rlwpx.free.fr/WPFF/hosts.htm,"A hosts list blocking malware sites. (Compressed, currently cannot be subscribed to/added.)",,,http://rlwpx.free.fr/Webforum/,,contact.wiki.airelle@spamgourmet.com,http://rlwpx.free.fr/WPFF/don.htm
Airelle's Phishing Hosts,http://rlwpx.free.fr/WPFF/hblc.7z,http://rlwpx.free.fr/WPFF/hosts.htm,"A hosts list blocking phishing sites. (Compressed, currently cannot be subscribed to/added.)",,,http://rlwpx.free.fr/Webforum/,,contact.wiki.airelle@spamgourmet.com,http://rlwpx.free.fr/WPFF/don.htm
Anti-Facebook List,https://fanboy.co.nz/fanboy-antifacebook.txt,https://fanboy.co.nz/,Blocks Facebook trackers.,,,,,,https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=WMGE9MAGGGMHW
Anti-PopAds,https://raw.githubusercontent.com/Yhonay/antipopads/master/popads.txt,https://github.com/Yhonay/antipopads,"Blocks shady, annoying pop-under ads from the infamous PopAds ad network.",,,,https://github.com/Yhonay/antipopads/issues,,
AntiPubWeb,https://web.archive.org/web/20160221135532/http://www.antipubfirefox.org/antipub/antipubfirefox-adblocklist-current-expanded.txt,https://www.antipubweb.org/,Complementary subscription to Liste FR + EasyList.,https://web.archive.org/web/20160221135532/http://www.antipubfirefox.org/antipub/antipubfirefox-adblocklist-current-expanded.txt,,,,,
Ayucat Powerful List,http://git.sourceforge.jp/view?p=ayucat-list/ayucat-list.git;a=blob_plain;f=ayucat-list.txt;hb=b254c74c132832a3ade7b9d42c2ef8d3dd59fdb9,https://osdn.net/projects/ayucat-list/,"A list for Adblock Plus, which is one of the most famous ad blocking softwares.",https://osdn.net/projects/ayucat-list/,,,,,
Bad JAV Sites,https://pastebin.com/raw/kDqbYwWr,https://www.akiba-online.com/threads/fake-jav-ddl-sites-list.1560416/,The sites listed there a fake/malicious sites that lure people with fake direct-download-links to JAV videos.,,,https://www.akiba-online.com/threads/fake-jav-ddl-sites-list.1560416/,,,
BadHosts,http://www.hostsfile.org/Downloads/hosts.txt,http://www.hostsfile.org/hosts.html,"A non-comprehensive malware hosts list meant to be used in conjunction with the <a href=""http://www.hostsfile.org/pac.html"">King of the PAC</a> file.",,,,,,
Banki.ru Plus Adblock List,https://raw.githubusercontent.com/rebelion76/bankiru_plus_adblock_list/master/bankiru_plus.txt,https://github.com/rebelion76/bankiru_plus_adblock_list,"This is a list for blocking advertisements on banki.ru site which is not blocked by ""conventional"" list.",https://raw.githubusercontent.com/rebelion76/bankiru_plus_adblock_list/master/bankiru_plus.txt,,,https://github.com/rebelion76/bankiru_plus_adblock_list/issues,,
BarbBlock,https://raw.githubusercontent.com/paulgb/BarbBlock/master/BarbBlock.txt,https://github.com/paulgb/BarbBlock,Blocks requests to sites which have used legal threats to remove themselves from other blacklists.,https://raw.githubusercontent.com/paulgb/BarbBlock/master/BarbBlock.txt,,,https://github.com/paulgb/BarbBlock/issues,,
Better.fyi | Trackers (List),https://raw.githubusercontent.com/anarki999/Adblock-List-Archive/master/Better.fyiTrackersBlocklist.txt,https://github.com/anarki999/Adblock-List-Archive,Adblock filters for both Adblock PLUS and uBlock. It also includes some anti-adblocking rules to make your adblocking extension undetectable. The author manually add the track block rules from https://better.fyi/trackers/ since those rules are only for an iOS app only.,,,,https://github.com/anarki999/Adblock-List-Archive/issues,,
Block the EU Cookie Shit List,https://raw.githubusercontent.com/r4vi/block-the-eu-cookie-shit-list/master/filterlist.txt,https://github.com/r4vi/block-the-eu-cookie-shit-list,Adblock / Adblock plus filter list for blocking cookie notifications.,https://github.com/r4vi/block-the-eu-cookie-shit-list,,,https://github.com/r4vi/block-the-eu-cookie-shit-list/issues,,
Blockzilla,https://raw.githubusercontent.com/zpacman/Blockzilla/master/Blockzilla.txt,https://blockzilla.jimdo.com/,Blockzilla is an unbloated and slim list, being light on system resources, yet still powerful against ads and trackers.,https://github.com/zpacman/Blockzilla,,,https://github.com/zpacman/Blockzilla/issues
BLOGRAM Analysis Block Filter List for Japan,http://blogram.net/wp-content/uploads/easylist3.txt,http://blogram.net/2010/04/23/adblock/,Prevention behavior tracking by the site administrator.,http://blogram.net/2010/04/23/adblock/,,,,,
BLOGRAM Basic Filter List for Japan,http://blogram.net/wp-content/uploads/easylist2.txt,http://blogram.net/2010/04/23/adblock/,Block the DL itself of advertising.,http://blogram.net/2010/04/23/adblock/,,,,,
BLOGRAM Blog Parts Filter List for Japan,http://blogram.net/wp-content/uploads/easylist4.txt,http://blogram.net/2010/04/23/adblock/,Low spec for equipment extremists blocked.,http://blogram.net/2010/04/23/adblock/,,,,,
BLOGRAM Element Hiding Filter List for Japan,http://blogram.net/wp-content/uploads/easylist1.txt,http://blogram.net/2010/04/23/adblock/,Hide text ads by CSS.,http://blogram.net/2010/04/23/adblock/,,,,,
Bulgarian List,https://stanev.org/abp/adblock_bg.txt,https://stanev.org/abp/,"On this page you can find updated lists to block unwanted content in your favorite browser. With their help, the pesky ads that some sites terrorizing customers will be hidden.",https://stanev.org/abp/,,,,alex@stanev.org,
Bulgarian List + EasyList,https://easylist-downloads.adblockplus.org/bulgarian_list+easylist.txt,,"A list combining <a href=""https://filterlists.com/#BulgarianList"">Bulgarian List</a> and <a href=""https://filterlists.com/#EasyList"">EasyList</a>.",,,,,,
CAMELEON Hosts,http://sysctl.org/cameleon/hosts,http://sysctl.org/cameleon/,CAMELEON is a free system that helps Internet users or administrators to blocks web-adverts.,http://sysctl.org/cameleon/,,,,philippe@sysctl.org,
CJX's Annoyance List,https://raw.githubusercontent.com/cjx82630/cjxlist/master/cjx-annoyance.txt,http://abpchina.org/forum/forum.php?mod=viewthread&tid=29667,"Removes annoyances, self-promotion and privacy protection on Chinese websites.",https://raw.githubusercontent.com/cjx82630/cjxlist/master/cjx-annoyance.txt,,http://abpchina.org/forum/forum.php,https://github.com/cjx82630/cjxlist/issues,cjxlist@gmail.com,
Clickbait Blocklist,https://raw.githubusercontent.com/cpeterso/clickbait-blocklist/master/clickbait-blocklist.txt,https://github.com/cpeterso/clickbait-blocklist/,"Clickbait Blocklist just blocks the most annoying clickbait ads. I don't mind ads; I just don't want clickbait crap about shocking celebrity photos and ""deep searches"" for local singles.",https://github.com/cpeterso/clickbait-blocklist/,,,https://github.com/cpeterso/clickbait-blocklist/issues,,
Cookie Blocklist,https://www.eff.org/files/cookieblocklist.txt,https://www.eff.org/privacybadger,"EFF maintains a Privacy Badger ""yellowlist"" of domains for which requests are allowed but Privacy Badger restricts access or availability of objectionable cookies and potentially other objectionable identifiers.",https://github.com/EFForg/privacybadgerchrome/blob/master/doc/yellowlist-criteria.md,,,https://github.com/EFForg/privacybadgerfirefox/issues,,https://supporters.eff.org/donate/support-privacy-badger
Corset,https://web.archive.org/web/20110212174029/http://abp-corset.googlecode.com/hg/corset.txt,http://corset.tistory.com/,Corset is a subscription filter to block intruding ads on sites using Korean.,https://code.google.com/archive/p/abp-corset/,,,,corset@tistory.com,
Czech Filters for AdBlock,http://adblock.dajbych.net/adblock.txt,http://adblock.dajbych.net/,Czech filters for Adblock Plus.,http://adblock.dajbych.net/adblock.txt,,,,,
Dan Pollock's Hosts,http://someonewhocares.org/hosts/zero/hosts,http://someonewhocares.org/hosts/,"Use this file to prevent your computer from connecting to selected internet hosts. This is an easy and effective way to protect you from many types of spyware, reduces bandwidth use, blocks certain pop-up traps, prevents user tracking by way of ""web bugs"" embedded in spam, provides partial protection to IE from certain web-based exploits and blocks most advertising you would otherwise be subjected to on the internet.",http://someonewhocares.org/hosts/,,,,hosts@someonewhocares.org,
Disconnect Advertising Filter List,https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt,https://disconnect.me/trackerprotection,Blocks advertisements.,,,,,support@disconnect.me,
Disconnect Malvertising Filter List,https://s3.amazonaws.com/lists.disconnect.me/simple_malvertising.txt,https://disconnect.me/trackerprotection,Blocks malvertising.,,,,,support@disconnect.me,
Disconnect Malware Filter List,https://s3.amazonaws.com/lists.disconnect.me/simple_malware.txt,https://disconnect.me/trackerprotection,Blocks malware.,,,,,support@disconnect.me,
Disconnect Tracking Filter List,https://s3.amazonaws.com/lists.disconnect.me/simple_tracking.txt,https://disconnect.me/trackerprotection,Blocks trackers.,,,,,support@disconnect.me,
DNS-BH Adblock Plus Malware Domains Full,https://easylist-downloads.adblockplus.org/malwaredomains_full.txt,http://www.malwaredomains.com/,This is a list of malware domains generated from malwaredomains.com data.,https://easylist-downloads.adblockplus.org/malwaredomains_full.txt,,,,malwaredomains@gmail.com,http://www.malwaredomains.com/?page_id=675
